English,Infinitiv,Presens,Imperfekt / Preteritum,Supinum,Imperativum
,anstränga,anstränger,ansträngde,ansträngt,
,B[edit],,,,
,"be, bedja","ber, beder",bad,bett,
,befalla,befaller,befallde,befallt,
,begrava,begraver,"begrov, begravde",begravt,
,begynna,begynner,begynte,begynt,
,begära,begär,begärde,begärt,
,behöva,behöver,behövde,behövt,
,belöpa,belöper,belöpte,"belöpt, belupit",
,bemänga,bemänger,bemängde,bemängt,
,bero,beror,berodde,berott,
,berömma,berömmer,berömde,berömt,
,beskära,beskär,beskärde,beskärt,
,beskära,beskär,beskar,beskurit,
,beveka,beveker,bevekte,bevekt,
,bida,bidar,"bidade, bidde","bidat, bitt",
,binda,binder,band,bundit,
,bita,biter,bet,bitit,
,bjuda,bjuder,bjöd,bjudit,
,bleka,bleker,blekte,blekt,
,"bli, bliva","blir, bliver",blev,blivit,
,blygas,blyges,blygdes,blygts,
,blåsa,blåser,blåste,blåst,
,blänga,blänger,blängde,blängt,
,blänka,blänker,blänkte,blänkt,
,blöda,blöder,blödde,blött,
,blöta,blöter,blötte,blött,
,bo,bor,bodde,bott,
,breda,breder,bredde,brett,
,bringa,bringar,"bragte, bringade","bragt, bringat",
,brinna,brinner,brann,brunnit,
,brista,brister,brast,brustit,
,bry,bryr,brydde,brytt,
,brygga,brygger,bryggde,bryggt,
,bryna,bryner,brynte,brynt,
,bryta,bryter,bröt,brutit,
,brås,brås,bråddes,bråtts,
,bräcka,bräcker,bräckte,bräckt,
,bräka,bräker,bräkte,bräkt,
,bränna,bränner,brände,bränt,
,bygga,bygger,byggde,byggt,
,byka,byker,bykte,bykt,
,byta,byter,bytte,bytt,
,bända,bänder,bände,bänt,
,bära,bär,bar,burit,
,böja,böjer,böjde,böjt,
,böra,bör,borde,bort,
,böta,"bötar, böter","bötade, bötte","bötat, bött",
,D[edit],,,,
,dimpa,dimper,damp,dumpit,
,djärvas,"djärves, djärvs",djärvdes,djärvts,
,draga,drager,drog,dragit,
,dricka,dricker,drack,druckit,
,driva,driver,drev,drivit,
,drypa,dryper,"dröp, drypte","drupit, drypt",
,dränka,dränker,dränkte,dränkt,
,dräpa,dräper,dräpte,dräpt,
,dröja,dröjer,dröjde,dröjt,
,drömma,drömmer,drömde,drömt,
,duga,duger,dugde,dugt,
,dväljas,"dväljes, dväljs",dvaldes,dvalts,
,dyka,dyker,"dykte, dök",dykt,
,dämma,dämmer,dämde,dämt,
,dänga,dänger,dängde,dängt,
,dö,dör,dog,dött,
,dölja,döljer,dolde,dolt,
,döma,dömer,dömde,dömt,
,döpa,döper,döpte,döpt,
,F[edit],,,,
,falla,fäller,föll,fallit,
,fara,far,for,farit,
,finna,finner,fann,funnit,
,fly,flyr,flydde,flytt,
,flyga,flyger,flög,flugit,
,flyta,flyter,flöt,flutit,
,flå,flår,flådde,flått,
,fläka,fläker,fläkte,fläkt,
,flänga,flänger,flängde,flängt,
,flöja,flöjer,flöjde,flöjt,
,fnysa,fnyser,"fnyste, fnös",fnyst,
,frysa,fryser,frös,frusit,
,frälsa,frälsar,"frälste, frälsade","frälst, frälsat",
,fräsa,fräser,fräste,fräst,
,fräta,fräter,frätte,frätt,
,fylla,fyller,fyllde,fyllt,
,få,får,fick,fått,
,fälla,fäller,fällde,fällt,
,fästa,fäster,"fäste, fästade","fäst, fästat",
,föda,föder,födde,fött,
,följa,följer,följde,följt,
,föra,för,förde,fört,
,förebrå,förebrår,förebrådde,förebrått,
,förgylla,förgyller,förgyllde,förgyllt,
,förgäta,förgäter,–,förgätit,
,förhyda,förhyder,förhydde,förhytt,
,förlika,förliker,förlikte,förlikt,
,förlisa,förliser,förliste,förlist,
,förljudas,förljudes,förljöds,förljudits,
,förlänga,förlänger,förlängde,förlängt,
,förmå,förmår,förmådde,förmått,
,förnimma,förnimmer,förnam,förnummit,
,förnöja,förnöjer,förnöjde,förnöjt,
,förskräcka,förskräcker,förskräckte,förskräckt,
,färsmå,försmår,försmådde,försmått,
,försvinna,försvinner,försvann,försvunnit,
,förvärva,förvärvar (förvärver),förvärvade (förvärvde),förvärvat (förvärvt),
,fösa,föser,föste,föst,
,G[edit],,,,
,gala,gal,gol,galit,
,gifta,gifter,gifte,gift,
,gitta,gitter,"gitte, gittade",gittat,
,"giva, ge","giver, ger",gav,"givit, gett",
,gjuta,gjuter,göt,gjutit,
,glida,glider,gled,glidit,
,glo,glor,glodde,glott,
,glädja,gläder,gladde,glatt,
,gläfsa,gläfser,gläfste,gläfst,
,glänsa,glänser,glänste,glänst,
,glöda,glöder,glödde,glött,
,glömma,glömmer,glömde,glömt,
,gnaga,gnager,gnagde,gnagt,
,gnida,gnider,gned,gnidit,
,gno,gnor,gnodde,gnott,
,gny,gnyr,gnydde,gnytt,
,gnälla,gnäller,gnällde,gnällt,
,gripa,griper,grep,gripit,
,gro,gror,grodde,grott,
,gry,gryr,grydde,grytt,
,gråta,gråter,grät,gråtit,
,gräma,grämer,grämde,grämt,
,gräva,gräver,grävde (grov),grävt,
,gå,går,gick,gått,
,gälla,gäller,gällde,gällt,
,göda,göder,gödde,gött,
,gömma,gömmer,gömde,gömt,
,göra,gör,gjorde,gjort,
,H[edit],,,,
,"ha, hava","har, haver",hade,haft,
,heta,heter,hette,hetat,
,hinna,hinner,hann,hunnit,
,hjälpa,hjälper,"hjälpte, halp","hjälpt, hulpit",
,hugga,hugger,högg,huggit,
,hyra,"hyr, hyrer",hyrde,hyrt,
,hysa,hyser,hyste,hyst,
,hålla,håller,höll,hållit,
,hälla,häller,hällde,hällt,
,hända,händer,hände,hänt,
,hänga,hänger,hängde,hängt,
,häva,häver,"hävde, hov","hävt, hävit",
,höja,höjer,höjde,höjt,
,hölja,höljer,höljde,höljt,
,höra,hör,hörde,hört,
,höta,höter,hötte,hött,
,hövas,höves,hövdes,hövts,
,"I, J[edit]",,,,
,idas,"ides, ids",iddes,"idits, itts",
,inskränka,inskränker,inskränkte,inskränkt,
,jäsa,jäser,jäste,jäst,
,K[edit],,,,
,klinga,klingar,"klingade, klang","klingat, klungit",
,klippa,klipper,klippte,klippt,
,kliva,kliver,klev,klivit,
,klyva,klyver,klöv,kluvit,
,klå,klår,klådde,klått,
,"kläcka, tr.",kläcker,kläckte,kläckt,
,"kläcka, itr.",kläcker,klack,–,
,kläda,kläder,klädde,klätt,
,klämma,klämmer,klämde,klämt,
,klänga,klänger,klängde,klängt,
,klösa,klöser,klöste,klöst,
,knipa,kniper,knep,knipit,
,knycka,knycker,knyckte,knyckt,
,knysta,"knystar, knyster","knystade, knyste","knystat, knyst",
,knyta,knyter,knöt,knutit,
,knäcka,knäcker,knäckte,knäckt,
,knäppa,knäpper,knäppte,knäppt,
,koka,kokar,"kokade, kokte","kokat, kokt",
,komma,kommer,kom,kommit,
,krympa,krymper,krympte,krympt,
,krypa,kryper,kröp,krupit,
,krysta,"krystar, kryster","krystade, kryste","krystat, kryst",
,kräkas,kräkes,kräktes,kräkts,
,kränga,kränger,krängde,krängt,
,kränka,kränker,kränkte,kränkt,
,kräva,kräver,krävde,krävt,
,kröka,kröker,krökte,krökt,
,kröna,kröner,krönte,krönt,
,kunna,kan,kunde,kunnat,
,kvida,kvider,"kved, kvidde",kvidit,
,kväda,kväder,kvad,kvädit,
,kväka,kväker,kväkte,kväkt,
,kvälja,kväljer,"kväljde, kvalde","kväljt, kvalt",
,kvälla,kväller,kvällde,kvällt,
,kväsa,kväser,kväste,kväst,
,kväva,kväver,kvävde,kvävt,
,kyla,kyler,kylde,kylt,
,kyssa,kysser,kysste,kysst,
,känna,känner,kände,känt,
,köpa,köper,köpte,köpt,
,köra,kör,körde,kört,
,L[edit],,,,
,le,ler,log,lett,
,leda,leder,ledde,lett,
,"ledas, leds","ledes, leds",leddes,letts,
,leja,lejer,lejde,lejt,
,leka,leker,lekte,lekt,
,leva,lever,levde,levat,
,lida,lider,led,lidit,
,ligga,ligger,låg,legat,
,ljuda,ljuder,ljöd,ljudit,
,ljuga,ljuger,ljög,ljugit,
,ljuta,ljuter,ljöt,ljutit,
,lyda,lyder,lydde,lytt,
,lyfta,lyfter,"lyfte, lyftade","lyft, lyftat",
,lysa,lyser,lyste,lyst,
,lyss,lyss,lyddes,–,
,lysta,lyster,lyste,–,
,låda,låder,lådde,lådit,
,låsa,låser,låste,låst,
,låta,låter,lät,låtit,
,läcka,läcker,läckte,läckt,
,lägga,lägger,lade,lagt,
,läka,läker,läkte,läkt,
,lända,länder,lände,länt,
,lära,"lär, lärer",lärde,lärt,
,läsa,läser,läste,läst,
,löda,löder,lödde,lött,
,löpa,löper,"löpte, lopp","lupit, löpt",
,lösa,löser,löste,löst,
,M[edit],,,,
,mala,mal,malde,"malt, malit",
,minnas,"minnes, minns",mindes,–,
,mista,mister,"miste, mistade","mist, mistat",
,mysa,myser,myste,myst,
,må,mår,mådde,mått,
,må,må,måtte,–,
,–,mån,månde,–,
,–,måste,måste,måst,
,mäla,mäler,"malde, mälte",mält,
,märka,märker,märkte,märkt,
,mäta,mäter,mätte,mätt,
,möta,möter,mötte,mött,
,N[edit],,,,
,niga,niger,neg,nigit,
,njuta,njuter,njöt,njutit,
,nypa,nyper,nöp,nupit,
,nysa,nyser,"nös, nyste","nyst, nysit",
,nå,når,nådde,nått,
,nämna,nämner,nämnde,nämnt,
,nännas,nänns,nändes,nänts,
,näpsa,näpser,näpste,näpst,
,nära,"när, närer",närde,närt,
,nöja,nöjer,nöjde,nöjt,
,nöta,nöter,nötte,nött,
,P[edit],,,,
,pipa,piper,pep,pipit,
,plöja,plöjer,plöjde,plöjt,
,pryda,pryder,prydde,prytt,
,påminna,påminner,påminde,påmint,
,pösa,pöser,pöste,pöst,
,R[edit],,,,
,reda,reder,redde,rett,
,resa,reser,reste,rest,
,rida,rider,red,ridit,
,ringer,ringer,ringde,ringt,
,rinna,rinner,rann,runnit,
,rista,"ristar, rister","ristade, riste","ristat, rist",
,riva,river,rev,rivit,
,ro,ror,rodde,rott,
,rycka,rycker,ryckte,ryckt,
,ryka,ryker,"rök, rykte","rykt, rykit, rukit",
,rymma,rymmer,rymde,rymt,
,rysa,ryser,ryste,ryst,
,ryta,ryter,röt,rytit,
,"rå, råda","rår, råder",rådde,rått,
,räcka,räcker,räckte,räckt,
,rädas,"rädes, räds",räddes,–,
,ränna,ränner,rände,ränt,
,röja,röjer,röjde,röjt,
,röka,röker,rökte,rökt,
,röna,röner,rönte,rönt,
,röra,"rör, rörer",rörde,rört,
,röta,röter,rötte,rött,
,S[edit],,,,
,se,ser,såg,sett,
,simma,"simmer, simmar","sam, simmade","summit, simmat",
,sitta,sitter,satt,"suttit, setat",
,sjuda,sjuder,sjöd,sjudit,
,sjunga,sjunger,sjöng,sjungit,
,sjunka,sjunker,sjönk,sjunkit,
,skava,skaver,skavde,"skavt, skavit",
,ske,sker,skedde,skett,
,skilja,skiljer,skilde,skilt,
,skina,skiner,sken,skinit,
,skira,"skirar, skir","skirade, skirde","skirat, skirt",
,skjuta,skjuter,sköt,skjutit,
,sko,skor,skodde,skott,
,skola,skall,skulle,skolat,
,skrida,skrider,skred,skridit,
,skrika,skriker,skrek,skrikit,
,skriva,skriver,skrev,skrivit,
,skrymma,skrymmer,skrymde,skrymt,
,skrympa,skrymper,skrympte,"skrympt, skrumpit",
,skryta,skryter,skröt,skrutit,
,skräda,skräder,skrädde,skrätt,
,skrälla,skräller,skrällde,skrällt,
,skrämma,skrämmer,skrämde,skrämt,
,sky,skyr,skydde,skytt,
,skygga (beschatten),skygger,skyggde,skyggt,
,skyla (bedecken),skyler,skylde,skylt,
,skylla,skyller,skyllde,skyllt,
,skymma,skymmer,skymde,skymt,
,skälla,skäller,skällde,skällt,
,skälva,skälver,"skälvde, skalv",skälvt,
,skämma,skämmer,skämde,skämt,
,skänka,skänker,skänkte,skänkt,
,skära,skär,skar,skurit,
,skärpa,skärper,skärpte,skärpt,
,skölja,sköljer,sköljde,sköljt,
,skönja,skönjer,skönjde,skönjt,
,sköta,sköter,skötte,skött,
,slinka,slinker,slank,slunkit,
,slinta,slinter,slant,sluntit,
,slippa,slipper,slapp,sluppit,
,slita,sliter,slet,slitit,
,sluka,slukar,"slukade, slök",slukat,
,sluta,"sluter, slutar","slöt, slutade","slutit, slutat",
,slå,slår,slog,slagit,
,slåss,slåss,slogs,slagits,
,släcka,släcker,släckte,släckt,
,slänga,slänger,slängde,slängt,
,släppa,släpper,släppte,släppt,
,smeka,smeker,smekte,smekt,
,smida,smider,smidde,"smitt, smidit",
,smita,smiter,smet,smitit,
,smyga,smyger,smög,smugit,
,smäcka,smäcker,smäckte,smäckt,
,smälla,smäller,"smällde, small",smällt,
,smälta,smälter,"smälte, smalt",smält,
,smörja,smörjer,smorde,smort,
,sno,snor,snodde,snott,
,snyta,snyter,snöt,snutit,
,snärja,snärjer,snärjde,snärjt,
,snäsa,snäser,snäste,snäst,
,snöpa,snöper,snöpte,snöpt,
,snöra,snör,snörde,snört,
,snörpa,snörper,snörpte,snörpt,
,sova,sover,sov,sovit,
,spara,"sparar, spar","sparade, sparde","sparat, spart",
,spilla,spiller,spillde,spillt,
,spinna,spinner,spann,spunnit,
,spricka,spricker,sprack,spruckit,
,sprida,sprider,spred,"spritt, spridit",
,springa,springer,sprang,sprungit,
,spritta,spritter,spratt,spruttit,
,spräcka,spräcker,spräckte,spräckt,
,spränga,spränger,sprängde,sprängt,
,sprätta,"sprätter, sprättar","sprätte, sprättade","sprätt, sprättat",
,spy,spyr,spydde,spytt,
,spå,spår,spådde,spått,
,späda,späder,spädde,spätt,
,späka,späker,späkte,späkt,
,spänna,spänner,spände,spänt,
,spörja,spörjer,sporde,sport,
,steka,steker,stekte,stekt,
,sticka (stechen),sticker,stack,stuckit,
,stiga,stiger,steg,stigit,
,stinga,stinger,stang,stungit,
,stinka,stinker,stank,stunkit,
,stjäla,stjäl,stal,stulit,
,stjälpa,stjälper,stjälpte,stjälpt,
,strida,strider,"stred, stridde","stritt, stridit",
,stryka,stryker,strök,strukit,
,strypa,stryper,strypte,strypt,
,sträcka,sträcker,sträckte,sträckt,
,strö,strör,strödde,strött,
,styra,"styr, styrer",styrde,styrt,
,styrka,styrker,styrkte,styrkt,
,stå,står,stod,stått,
,stäcka,stäcker,stäckte,stäckt,
,städja,"städjer, städer",stadde,statt,
,ställa,ställer,ställde,ställt,
,stämma,stämmer,stämde,stämt,
,stänga,stänger,stängde,stängt,
,stänka,stänker,stänkte,stänkt,
,stärka,stärker,stärkte,stärkt,
,stödja,"stödjer, stöder",stödde,stött,
,stöpa,stöper,stöpte,stöpt,
,störa,stör,störde,stört,
,stöta,stöter,stötte,stött,
,suga,suger,sög,sugit,
,supa,super,söp,supit,
,sveda,sveder,svedde,svett,
,svepa,sveper,svepte,svept,
,svida,svider,sved,svidit,
,svika,sviker,svek,svikit,
,svälja,sväljer,sväljde,sväljt,
,svälla,sväller,svällde,svällt,
,svälta,svälter,"svalt, svälte","svultit, svält",
,svänga,svänger,svängde,svängt,
,"svära, svärja","svär, svärjer",svor,svurit,
,sy,syr,sydde,sytt,
,synas,synes,syntes,synts,
,så,sår,sådde,sått,
,säga,säger,sade,sagt,
,sälja,säljer,sålde,sålt,
,sämjas,"sämjes, säms",sämdes,sämts,
,sända,sänder,sände,sänt,
,sänka,sänker,sänkte,sänkt,
,sätta,sätter,satte,satt,
,söka,söker,sökte,sökt,
,sörja,sörjer,sörjde,sörjt,
,söva,söver,sövde,sövt,
,T[edit],,,,
,"ta, taga","tar, tager",tog,tagit,
,te,ter,tedde,tett,
,tiga,tiger,teg,"tegat, tigit",
,tigga,tigger,tiggde,tiggt,
,tjusa,"tjusar, tjuser","tjusade, tjuste","tjusat, tjust",
,tjuta,tjuter,tjöt,tjutit,
,tjäna,tjänar,"tjänade, tjänte","tjänat, tjänt",
,trivas,"trivs, trives",trivdes,"trivts, trivits",
,tro,tror,trodde,trott,
,trycka,trycker,tryckte,tryckt,
,tryta,tryter,tröt,trutit,
,trå,trår,trådde,trått,
,tråda,tråder,trådde,trått,
,träda,träder,trädde,trätt,
,tränga,tränger,trängde,trängt,
,träta,träter,trätte,trätt,
,tvinga,tvingar,"tvingade, tvang","tvingat, tvungit",
,två,tvår,tvådde,"tvått, tvagit",
,ty,tyr,tydde,tytt,
,tycka,tycker,tyckte,tyckt,
,tyda,tyder,tydde,tytt,
,tynga,tynger,tyngde,tyngt,
,tåla,tål,tålde,tålt,
,täcka,täcker,täckte,täckt,
,täckas,täckes,täcktes,täckts,
,tälja (schneiden),täljer,täljde,täljt,
,tälja (zählen),täljer,"täljde, talde","täljt, talt",
,tämja,tämjer,"tämde, tamde","tämt, tamt",
,tända,tänder,tände,tänt,
,tänja,tänjer,tänjde,tänjt,
,tänka,tänker,tänkte,tänkt,
,täppa,täpper,täppte,täppt,
,tära,"tär, tärer",tärde,tärt,
,töja,töjer,töjde,töjt,
,tömma,tömmer,tömde,tömt,
,–,tör,torde,–,
,töras,törs,tordes,torts,
,V[edit],,,,
,vara (sein),är,var,varit,
,varda,varder,vart,–,
,varsko,varskor,varskodde,varskott,
,vederkvicka,vederkvicker,vederkvickte,vederkvickt,
,veta,vet,visste,vetat,
,vetta,vetter,vette,vettat,
,viga,viger,vigde,vigt,
,vika,viker,vek,vikit,
,vilja,vill,ville,velat,
,vina,viner,ven,vinit,
,vinna,vinner,vann,vunnit,
,vrida,vrider,vred,vridit,
,vräka,vräker,vräkte (vrok),vräkt,
,vränga,vränger,vrängde,vrängt,
,väcka,väcker,väckte,väckt,
,väga,väger,vägde,vägt,
,väja,väjer,väjde,väjt,
,välja,väljer,valde,valt,
,välla,väller,vällde,vällt,
,välta (umkippen),"välter, vältar","välte, vältade","vält, vältat",
,välva,välver,välvde,välvt,
,vämjas,vämjes,vämdes,vämts,
,vända,vänder,vände,vänt,
,vänja,vänjer,vande,vant,
,värja,värjer,värjde,värjt,
,värka,värker,värkte,värkt,
,värma,värmer,värmde,värmt,
,värpa,värper,värpte,värpt,
,värva,värver,värvde,värvt,
,väsa,väser,väste,väst,
,vässa,vässer,vässte,vässt,
,väta,väter,vätte,vätt,
,väva,väver,vävde,vävt,
,växa,växer,växte,"växt, vuxit",
,Y[edit],,,,
,yra (stöbern),yr,yrde,yrt,
,ysta,"ystar, yster","ystade, yste","ystat, yst",
,yvas,"yves, yvs",yvdes,yvts,
,"Å, Ä, Ö[edit]",,,,
,åka,åker,åkte,åkt,
,åtrå,åtrår,åtrådde,åtrått,
,äga,äger,ägde,ägt,
,ärja,ärjer,ärjde,ärjt,
,ärva,ärver,ärvde,ärvt,
,äta,äter,åt,ätit,
,öda,öder,ödde,ött,
,ösa,öser,öste,öst,